FL_DATE,UNIQUE_CARRIER,CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE
08/01/16,AA,AA,167,MIA,"Miami, FL",FL,SFO,"San Francisco, CA",CA,716,0,955,-9,0,,321,2585
08/01/16,AA,AA,168,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1636,81,1916,65,0,,85,646
08/01/16,AA,AA,169,SFO,"San Francisco, CA",CA,LAX,"Los Angeles, CA",CA,557,-3,718,-11,0,,57,337
08/01/16,AA,AA,170,LAX,"Los Angeles, CA",CA,SFO,"San Francisco, CA",CA,1353,3,1514,3,0,,52,337
08/01/16,AA,AA,171,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,617,17,913,7,0,,330,2475
08/01/16,AA,AA,172,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,1044,44,1938,59,0,,313,2475
08/01/16,AA,AA,173,RDU,"Raleigh/Durham, NC",NC,DFW,"Dallas/Fort Worth, TX",TX,1556,16,1759,22,0,,137,1061
08/01/16,AA,AA,174,DFW,"Dallas/Fort Worth, TX",TX,RDU,"Raleigh/Durham, NC",NC,1047,17,1425,11,0,,139,1061
08/01/16,AA,AA,175,BOS,"Boston, MA",MA,DFW,"Dallas/Fort Worth, TX",TX,600,-8,910,-8,0,,214,1562
08/01/16,AA,AA,176,DFW,"Dallas/Fort Worth, TX",TX,BOS,"Boston, MA",MA,1037,7,1512,-2,0,,189,1562
08/01/16,AA,AA,178,MCO,"Orlando, FL",FL,LAX,"Los Angeles, CA",CA,1936,14,2202,27,0,,299,2218
08/01/16,AA,AA,179,JFK,"New York, NY",NY,SFO,"San Francisco, CA",CA,1028,-2,1350,-3,0,,340,2586
08/01/16,AA,AA,180,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,1836,96,256,79,0,,294,2475
08/01/16,AA,AA,182,LAX,"Los Angeles, CA",CA,AUS,"Austin, TX",TX,1805,-5,2318,-1,0,,160,1242
08/01/16,AA,AA,41,ORD,"Chicago, IL",IL,SFO,"San Francisco, CA",CA,1505,56,1712,27,0,,233,1846
08/01/16,AA,AA,43,DFW,"Dallas/Fort Worth, TX",TX,DTW,"Detroit, MI",MI,1138,38,1506,22,0,,130,986
08/01/16,AA,AA,43,DTW,"Detroit, MI",MI,DFW,"Dallas/Fort Worth, TX",TX,1629,60,1757,34,0,,131,986
08/01/16,AA,AA,44,SEA,"Seattle, WA",WA,JFK,"New York, NY",NY,734,-1,1544,-17,0,,282,2422
08/01/16,AA,AA,45,JFK,"New York, NY",NY,SEA,"Seattle, WA",WA,1908,48,2245,56,0,,342,2422
08/01/16,AA,AA,46,MSP,"Minneapolis, MN",MN,ORD,"Chicago, IL",IL,1610,0,1738,-6,0,,51,334
08/01/16,AA,AA,47,ORD,"Chicago, IL",IL,MSP,"Minneapolis, MN",MN,1400,5,1528,3,0,,59,334
08/01/16,AA,AA,48,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,1217,96,1719,111,0,,142,1055
08/01/16,AA,AA,50,STL,"St. Louis, MO",MO,DFW,"Dallas/Fort Worth, TX",TX,1137,-1,1310,-19,0,,77,550
08/01/16,AA,AA,51,DFW,"Dallas/Fort Worth, TX",TX,STL,"St. Louis, MO",MO,1644,-2,1820,-10,0,,79,550
08/01/16,AA,AA,52,LAX,"Los Angeles, CA",CA,DCA,"Washington, DC",VA,1225,-5,2118,40,0,,281,2311
08/01/16,AA,AA,53,ORD,"Chicago, IL",IL,TPA,"Tampa, FL",FL,1513,-1,1848,-2,0,,130,1012
08/01/16,AA,AA,54,MCO,"Orlando, FL",FL,ORD,"Chicago, IL",IL,1731,31,1935,36,0,,145,1005
08/01/16,AA,AA,55,ORD,"Chicago, IL",IL,MCO,"Orlando, FL",FL,1851,1,2223,-10,0,,124,1005
08/01/16,AA,AA,56,MCO,"Orlando, FL",FL,MIA,"Miami, FL",FL,2255,410,2354,394,0,,37,192
08/01/16,AA,AA,57,MIA,"Miami, FL",FL,IAH,"Houston, TX",TX,1738,39,1906,25,0,,127,964
08/01/16,AA,AA,58,KOA,"Kona, HI",HI,LAX,"Los Angeles, CA",CA,1501,-4,27,65,0,,296,2504
08/01/16,AA,AA,59,LAX,"Los Angeles, CA",CA,KOA,"Kona, HI",HI,1053,3,1328,-7,0,,308,2504
08/01/16,AA,AA,60,DFW,"Dallas/Fort Worth, TX",TX,MIA,"Miami, FL",FL,2052,17,153,82,0,,139,1121
08/01/16,AA,AA,61,MIA,"Miami, FL",FL,DFW,"Dallas/Fort Worth, TX",TX,916,-4,1101,-17,0,,138,1121
08/01/16,AA,AA,62,IAH,"Houston, TX",TX,MIA,"Miami, FL",FL,941,-4,1308,-9,0,,126,964
08/01/16,AA,AA,63,MIA,"Miami, FL",FL,IAH,"Houston, TX",TX,2012,-4,2152,-7,0,,126,964
08/01/16,AA,AA,64,MIA,"Miami, FL",FL,JFK,"New York, NY",NY,1326,-4,1636,11,0,,156,1089
08/01/16,AA,AA,65,JFK,"New York, NY",NY,MIA,"Miami, FL",FL,1620,40,1947,37,0,,159,1089
08/01/16,AA,AA,66,SFO,"San Francisco, CA",CA,JFK,"New York, NY",NY,709,-6,1555,-5,0,,314,2586
08/01/16,AA,AA,67,JFK,"New York, NY",NY,SFO,"San Francisco, CA",CA,1741,41,2127,36,0,,351,2586
08/01/16,AA,AA,68,LAX,"Los Angeles, CA",CA,MIA,"Miami, FL",FL,1126,26,1927,20,0,,268,2342
08/01/16,AA,AA,69,MIA,"Miami, FL",FL,LAX,"Los Angeles, CA",CA,1957,-4,2242,9,0,,289,2342
08/01/16,AA,AA,70,LAX,"Los Angeles, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,824,-1,1341,-4,0,,158,1235
08/01/16,AA,AA,71,DFW,"Dallas/Fort Worth, TX",TX,LAX,"Los Angeles, CA",CA,1647,2,1802,-1,0,,157,1235
08/01/16,AA,AA,72,LAX,"Los Angeles, CA",CA,LAS,"Las Vegas, NV",NV,1227,167,1331,150,0,,41,236
08/01/16,AA,AA,73,LAS,"Las Vegas, NV",NV,LAX,"Los Angeles, CA",CA,1914,6,2038,13,0,,41,236
08/01/16,AA,AA,74,DFW,"Dallas/Fort Worth, TX",TX,MEM,"Memphis, TN",TN,1750,50,1911,39,0,,67,431
08/01/16,AA,AA,244,SNA,"Santa Ana, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,849,2,1402,12,0,,151,1205
08/01/16,AA,AA,245,DCA,"Washington, DC",VA,LAX,"Los Angeles, CA",CA,1753,8,2015,-10,0,,287,2311
08/01/16,AA,AA,246,KOA,"Kona, HI",HI,LAX,"Los Angeles, CA",CA,2242,17,656,12,0,,294,2504
08/01/16,AA,AA,247,LAX,"Los Angeles, CA",CA,KOA,"Kona, HI",HI,1840,60,2109,45,0,,305,2504
08/01/16,AA,AA,248,BNA,"Nashville, TN",TN,DFW,"Dallas/Fort Worth, TX",TX,939,5,1123,-8,0,,84,631
08/01/16,AA,AA,248,DFW,"Dallas/Fort Worth, TX",TX,BNA,"Nashville, TN",TN,702,-3,852,3,0,,85,631
08/01/16,AA,AA,249,DFW,"Dallas/Fort Worth, TX",TX,SFO,"San Francisco, CA",CA,849,-1,1032,-3,0,,198,1464
08/01/16,AA,AA,250,OGG,"Kahului, HI",HI,LAX,"Los Angeles, CA",CA,2316,1,735,2,0,,292,2486
08/01/16,AA,AA,251,MIA,"Miami, FL",FL,TPA,"Tampa, FL",FL,1602,15,1655,6,0,,36,204
08/01/16,AA,AA,252,BOS,"Boston, MA",MA,ORD,"Chicago, IL",IL,1415,5,1555,-6,0,,130,867
08/01/16,AA,AA,252,ORD,"Chicago, IL",IL,BOS,"Boston, MA",MA,1002,-3,1321,0,0,,112,867
08/01/16,AA,AA,253,LAX,"Los Angeles, CA",CA,OGG,"Kahului, HI",HI,830,-5,1109,-20,0,,308,2486
08/01/16,AA,AA,254,OGG,"Kahului, HI",HI,LAX,"Los Angeles, CA",CA,1313,-2,2218,40,0,,294,2486
08/01/16,AA,AA,255,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,1100,60,1337,30,0,,309,2475
08/01/16,AA,AA,256,LAX,"Los Angeles, CA",CA,ORD,"Chicago, IL",IL,558,-2,1203,-8,0,,214,1744
08/01/16,AA,AA,258,ONT,"Ontario, CA",CA,PHX,"Phoenix, AZ",AZ,2137,-3,2305,6,0,,50,325
08/01/16,AA,AA,259,DFW,"Dallas/Fort Worth, TX",TX,SFO,"San Francisco, CA",CA,1102,-3,1247,-1,0,,192,1464
08/01/16,AA,AA,259,SFO,"San Francisco, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,1338,1,1911,-8,0,,185,1464
08/01/16,AA,AA,260,LAX,"Los Angeles, CA",CA,MIA,"Miami, FL",FL,58,48,915,47,0,,284,2342
08/01/16,AA,AA,261,SEA,"Seattle, WA",WA,JFK,"New York, NY",NY,2229,-7,623,-37,0,,276,2422
08/01/16,AA,AA,262,DFW,"Dallas/Fort Worth, TX",TX,LGA,"New York, NY",NY,2017,72,36,58,0,,174,1389
08/01/16,AA,AA,263,LGA,"New York, NY",NY,DFW,"Dallas/Fort Worth, TX",TX,652,-4,932,-8,0,,182,1389
08/01/16,AA,AA,265,LAX,"Los Angeles, CA",CA,LIH,"Lihue, HI",HI,958,12,1306,12,0,,331,2615
08/01/16,AA,AA,266,LIH,"Lihue, HI",HI,LAX,"Los Angeles, CA",CA,1422,-2,2309,15,0,,303,2615
08/01/16,AA,AA,74,MEM,"Memphis, TN",TN,DFW,"Dallas/Fort Worth, TX",TX,1944,21,2107,6,0,,64,431
08/01/16,AA,AA,78,SLC,"Salt Lake City, UT",UT,DFW,"Dallas/Fort Worth, TX",TX,1501,88,1836,82,0,,130,989
08/01/16,AA,AA,79,DFW,"Dallas/Fort Worth, TX",TX,SLC,"Salt Lake City, UT",UT,2205,-5,2333,-23,0,,134,989
08/01/16,AA,AA,80,DEN,"Denver, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,2054,156,2346,149,0,,87,641
08/01/16,AA,AA,81,DFW,"Dallas/Fort Worth, TX",TX,DEN,"Denver, CO",CO,1902,-3,2001,-9,0,,89,641
08/01/16,AA,AA,82,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,831,31,1712,36,0,,299,2475
08/01/16,AA,AA,83,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,1807,7,2145,19,0,,319,2475
08/01/16,AA,AA,85,BOS,"Boston, MA",MA,JFK,"New York, NY",NY,,,,,1,C,,187
08/01/16,AA,AA,85,JFK,"New York, NY",NY,SFO,"San Francisco, CA",CA,1956,-4,2334,-6,0,,352,2586
08/01/16,AA,AA,86,PDX,"Portland, OR",OR,ORD,"Chicago, IL",IL,658,-6,1240,-25,0,,200,1739
08/01/16,AA,AA,87,ORD,"Chicago, IL",IL,PDX,"Portland, OR",OR,2023,3,2301,18,0,,236,1739
08/01/16,AA,AA,88,MIA,"Miami, FL",FL,LGA,"New York, NY",NY,,,,,1,C,,1096
08/01/16,AA,AA,89,DFW,"Dallas/Fort Worth, TX",TX,SLC,"Salt Lake City, UT",UT,1913,23,2047,11,0,,136,989
08/01/16,AA,AA,91,ORD,"Chicago, IL",IL,DFW,"Dallas/Fort Worth, TX",TX,2235,27,58,28,0,,106,802
08/01/16,AA,AA,94,SAN,"San Diego, CA",CA,JFK,"New York, NY",NY,740,0,1634,23,0,,309,2446
08/01/16,AA,AA,95,JFK,"New York, NY",NY,SAN,"San Diego, CA",CA,1758,33,2101,27,0,,319,2446
08/01/16,AA,AA,96,DEN,"Denver, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,458,-4,805,7,0,,84,641
08/01/16,AA,AA,96,DFW,"Dallas/Fort Worth, TX",TX,STL,"St. Louis, MO",MO,902,-3,1041,-12,0,,79,550
08/01/16,AA,AA,97,JFK,"New York, NY",NY,BOS,"Boston, MA",MA,933,139,1043,133,0,,41,187
08/01/16,AA,AA,98,TUS,"Tucson, AZ",AZ,ORD,"Chicago, IL",IL,1214,6,1741,-4,0,,178,1437
08/01/16,AA,AA,100,CLT,"Charlotte, NC",NC,JFK,"New York, NY",NY,1353,48,1616,77,0,,105,541
08/01/16,AA,AA,100,IAH,"Houston, TX",TX,CLT,"Charlotte, NC",NC,905,20,1226,12,0,,119,912
08/01/16,AA,AA,101,JFK,"New York, NY",NY,CLT,"Charlotte, NC",NC,1708,9,1928,18,0,,84,541
08/01/16,AA,AA,102,HNL,"Honolulu, HI",HI,DFW,"Dallas/Fort Worth, TX",TX,2000,1,831,-12,0,,425,3784
08/01/16,AA,AA,103,DFW,"Dallas/Fort Worth, TX",TX,SJC,"San Jose, CA",CA,1106,-4,1242,-5,0,,183,1438
08/01/16,AA,AA,103,SJC,"San Jose, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,1333,0,1907,-1,0,,186,1438
08/01/16,AA,AA,104,DCA,"Washington, DC",VA,JFK,"New York, NY",NY,1832,59,2048,108,0,,46,213
08/01/16,AA,AA,106,PHX,"Phoenix, AZ",AZ,JFK,"New York, NY",NY,924,17,1739,24,0,,278,2153
08/01/16,AA,AA,108,HNL,"Honolulu, HI",HI,LAX,"Los Angeles, CA",CA,713,-7,1529,-27,0,,293,2556
08/01/16,AA,AA,109,LAX,"Los Angeles, CA",CA,HNL,"Honolulu, HI",HI,1958,13,2246,-4,0,,310,2556
08/01/16,AA,AA,110,LAX,"Los Angeles, CA",CA,ORD,"Chicago, IL",IL,1028,48,1625,38,0,,197,1744
08/01/16,AA,AA,111,ORD,"Chicago, IL",IL,LAX,"Los Angeles, CA",CA,1704,-1,1910,-27,0,,218,1744
08/01/16,AA,AA,112,MCO,"Orlando, FL",FL,MIA,"Miami, FL",FL,1512,32,1605,16,0,,36,192
08/01/16,AA,AA,113,MIA,"Miami, FL",FL,MCO,"Orlando, FL",FL,,,,,1,A,,192
08/01/16,AA,AA,285,LAX,"Los Angeles, CA",CA,LIH,"Lihue, HI",HI,1759,19,2043,2,0,,318,2615
08/01/16,AA,AA,286,LIH,"Lihue, HI",HI,LAX,"Los Angeles, CA",CA,2216,-19,628,-33,0,,294,2615
08/01/16,AA,AA,287,MIA,"Miami, FL",FL,LAX,"Los Angeles, CA",CA,1407,-5,1615,-19,0,,280,2342
08/01/16,AA,AA,287,SJU,"San Juan, PR",PR,MIA,"Miami, FL",FL,724,-6,1003,-8,0,,129,1045
08/01/16,AA,AA,288,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,2021,16,2339,22,0,,99,733
08/01/16,AA,AA,289,LGA,"New York, NY",NY,ORD,"Chicago, IL",IL,715,0,849,-6,0,,112,733
08/01/16,AA,AA,292,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,608,8,1437,3,0,,305,2475
08/01/16,AA,AA,293,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,1958,-2,2258,-14,0,,315,2475
08/01/16,AA,AA,294,DFW,"Dallas/Fort Worth, TX",TX,ORF,"Norfolk, VA",VA,1113,31,1502,23,0,,153,1212
08/01/16,AA,AA,294,ORF,"Norfolk, VA",VA,DFW,"Dallas/Fort Worth, TX",TX,1548,29,1746,11,0,,159,1212
08/01/16,AA,AA,295,MIA,"Miami, FL",FL,LAX,"Los Angeles, CA",CA,1027,57,1253,49,0,,279,2342
08/01/16,AA,AA,295,TPA,"Tampa, FL",FL,MIA,"Miami, FL",FL,740,0,832,-9,0,,34,204
08/01/16,AA,AA,296,DFW,"Dallas/Fort Worth, TX",TX,MCO,"Orlando, FL",FL,557,-3,928,-8,0,,132,985
08/01/16,AA,AA,296,MCO,"Orlando, FL",FL,MIA,"Miami, FL",FL,1026,5,1122,-7,0,,37,192
08/01/16,AA,AA,297,LAX,"Los Angeles, CA",CA,HNL,"Honolulu, HI",HI,1716,16,2011,7,0,,317,2556
08/01/16,AA,AA,298,HNL,"Honolulu, HI",HI,LAX,"Los Angeles, CA",CA,2138,4,549,-12,0,,288,2556
08/01/16,AA,AA,299,DFW,"Dallas/Fort Worth, TX",TX,TUL,"Tulsa, OK",OK,2222,-3,2320,-10,0,,44,237
08/01/16,AA,AA,299,FLL,"Fort Lauderdale, FL",FL,DFW,"Dallas/Fort Worth, TX",TX,1917,13,2111,3,0,,148,1119
08/01/16,AA,AA,300,ORD,"Chicago, IL",IL,LAS,"Las Vegas, NV",NV,1336,71,1525,65,0,,205,1514
08/01/16,AA,AA,301,DFW,"Dallas/Fort Worth, TX",TX,DTW,"Detroit, MI",MI,1429,-6,1806,-11,0,,137,986
08/01/16,AA,AA,301,DTW,"Detroit, MI",MI,DFW,"Dallas/Fort Worth, TX",TX,1904,-4,2043,-13,0,,134,986
08/01/16,AA,AA,302,TUS,"Tucson, AZ",AZ,DFW,"Dallas/Fort Worth, TX",TX,454,-9,909,-17,0,,114,813
08/01/16,AA,AA,303,LGA,"New York, NY",NY,ORD,"Chicago, IL",IL,604,5,731,-1,0,,116,733
08/01/16,AA,AA,116,OGG,"Kahului, HI",HI,DFW,"Dallas/Fort Worth, TX",TX,2135,87,941,70,0,,402,3711
08/01/16,AA,AA,117,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,1552,22,1908,18,0,,321,2475
08/01/16,AA,AA,118,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,653,-7,1527,-7,0,,303,2475
08/01/16,AA,AA,119,DFW,"Dallas/Fort Worth, TX",TX,OGG,"Kahului, HI",HI,1107,-3,1402,-13,0,,450,3711
08/01/16,AA,AA,122,SAN,"San Diego, CA",CA,ORD,"Chicago, IL",IL,700,481,1307,495,0,,214,1723
08/01/16,AA,AA,123,DFW,"Dallas/Fort Worth, TX",TX,HNL,"Honolulu, HI",HI,900,-5,1218,-13,0,,472,3784
08/01/16,AA,AA,126,LAX,"Los Angeles, CA",CA,ORD,"Chicago, IL",IL,752,2,1355,-6,0,,210,1744
08/01/16,AA,AA,127,MCO,"Orlando, FL",FL,DFW,"Dallas/Fort Worth, TX",TX,934,87,1111,76,0,,133,985
08/01/16,AA,AA,128,DFW,"Dallas/Fort Worth, TX",TX,MCO,"Orlando, FL",FL,2046,26,15,16,0,,126,985
08/01/16,AA,AA,129,LGA,"New York, NY",NY,MCO,"Orlando, FL",FL,944,-6,1248,-5,0,,127,950
08/01/16,AA,AA,130,ORD,"Chicago, IL",IL,JFK,"New York, NY",NY,1240,30,1617,43,0,,110,740
08/01/16,AA,AA,131,JFK,"New York, NY",NY,ORD,"Chicago, IL",IL,1714,9,1931,22,0,,120,740
08/01/16,AA,AA,132,DFW,"Dallas/Fort Worth, TX",TX,EWR,"Newark, NJ",NJ,1920,53,2355,57,0,,190,1372
08/01/16,AA,AA,133,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,1706,21,2044,42,0,,324,2475
08/01/16,AA,AA,134,MIA,"Miami, FL",FL,SEA,"Seattle, WA",WA,,,,,1,A,,2724
08/01/16,AA,AA,137,LGA,"New York, NY",NY,DFW,"Dallas/Fort Worth, TX",TX,744,-4,1034,-1,0,,186,1389
08/01/16,AA,AA,138,DFW,"Dallas/Fort Worth, TX",TX,JFK,"New York, NY",NY,1947,65,19,48,0,,190,1391
08/01/16,AA,AA,139,ATL,"Atlanta, GA",GA,MIA,"Miami, FL",FL,814,-1,1006,-13,0,,84,594
08/01/16,AA,AA,139,MIA,"Miami, FL",FL,LAX,"Los Angeles, CA",CA,1327,42,1549,37,0,,281,2342
08/01/16,AA,AA,140,DFW,"Dallas/Fort Worth, TX",TX,SJC,"San Jose, CA",CA,1901,2,2042,4,0,,200,1438
08/01/16,AA,AA,143,SEA,"Seattle, WA",WA,DFW,"Dallas/Fort Worth, TX",TX,721,-7,1253,-34,0,,189,1660
08/01/16,AA,AA,145,LAS,"Las Vegas, NV",NV,LAX,"Los Angeles, CA",CA,557,-3,704,-8,0,,41,236
08/01/16,AA,AA,146,LAX,"Los Angeles, CA",CA,BOS,"Boston, MA",MA,839,24,1728,36,0,,315,2611
08/01/16,AA,AA,147,BOS,"Boston, MA",MA,LAX,"Los Angeles, CA",CA,1513,-2,1818,-18,0,,330,2611
08/01/16,AA,AA,148,CLT,"Charlotte, NC",NC,MIA,"Miami, FL",FL,1030,60,1231,48,0,,89,650
08/01/16,AA,AA,148,JFK,"New York, NY",NY,CLT,"Charlotte, NC",NC,745,75,934,66,0,,78,541
08/01/16,AA,AA,150,SFO,"San Francisco, CA",CA,ORD,"Chicago, IL",IL,657,-3,1317,0,0,,224,1846
08/01/16,AA,AA,152,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1509,-2,1733,-6,0,,159,1192
08/01/16,AA,AA,153,DCA,"Washington, DC",VA,ORD,"Chicago, IL",IL,1019,9,1129,15,0,,92,612
08/01/16,AA,AA,154,ORD,"Chicago, IL",IL,DCA,"Washington, DC",VA,1955,25,2259,40,0,,81,612
08/01/16,AA,AA,155,SFO,"San Francisco, CA",CA,LAX,"Los Angeles, CA",CA,1315,4,1441,-4,0,,58,337
08/01/16,AA,AA,156,SAN,"San Diego, CA",CA,ORD,"Chicago, IL",IL,1200,40,1805,36,0,,210,1723
08/01/16,AA,AA,157,DEN,"Denver, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,844,31,1142,29,0,,88,641
08/01/16,AA,AA,159,DFW,"Dallas/Fort Worth, TX",TX,SFO,"San Francisco, CA",CA,725,5,852,-10,0,,194,1464
08/01/16,AA,AA,315,SAT,"San Antonio, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,1421,-5,1522,-18,0,,43,247
08/01/16,AA,AA,316,MIA,"Miami, FL",FL,SJU,"San Juan, PR",PR,2144,4,27,5,0,,134,1045
08/01/16,AA,AA,319,JFK,"New York, NY",NY,PHX,"Phoenix, AZ",AZ,,,,,1,A,,2153
08/01/16,AA,AA,319,PHX,"Phoenix, AZ",AZ,PDX,"Portland, OR",OR,,,,,1,A,,1009
