Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Albania,ALB,GINI index (World Bank estimate),SI.POV.GINI,..
Albania,ALB,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS,115.50736
Albania,ALB,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,121.93414
Albania,ALB,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,118.84585
Albania,ALB,Income share held by fourth 20%,SI.DST.04TH.20,..
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,..
Albania,ALB,Income share held by highest 20%,SI.DST.05TH.20,..
Albania,ALB,Income share held by lowest 10%,SI.DST.FRST.10,..
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,..
Albania,ALB,Income share held by second 20%,SI.DST.02ND.20,..
Albania,ALB,Income share held by third 20%,SI.DST.03RD.20,..
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,80.557
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75.593
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.0144634146342
Albania,ALB,Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,3.88
Albania,ALB,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..
Albania,ALB,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,15
Albania,ALB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,49.688
Albania,ALB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,83.574
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.5
Albania,ALB,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,11.2
Albania,ALB,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,13.7
Albania,ALB,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,6.2
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,14
Albania,ALB,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,12.5
Albania,ALB,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,15.3
Albania,ALB,Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS,..
Albania,ALB,"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,..
Albania,ALB,"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS,..
Albania,ALB,Number of infant deaths,SH.DTH.IMRT,564
Albania,ALB,Number of neonatal deaths,SH.DTH.NMRT,279
Albania,ALB,Number of under-five deaths,SH.DTH.MORT,618
Albania,ALB,"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS,6.94056
Albania,ALB,"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,6.35085
Albania,ALB,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,7.46585
Albania,ALB,"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,..
Albania,ALB,"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,..
Albania,ALB,"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,..
Albania,ALB,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,..
Albania,ALB,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,..
Albania,ALB,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,..
Albania,ALB,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,..
Albania,ALB,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,..
Albania,ALB,Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,..
Albania,ALB,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,..
Albania,ALB,"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,..
Albania,ALB,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,..
Albania,ALB,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,..
Albania,ALB,"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS,..
Albania,ALB,"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,..
Albania,ALB,"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,..
Albania,ALB,"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,..
Albania,ALB,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,..
Albania,ALB,"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,..
Albania,ALB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Albania,ALB,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..
Albania,ALB,"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,..
Albania,ALB,"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,..
Albania,ALB,"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,..
Albania,ALB,"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,..
Albania,ALB,"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS,..
Albania,ALB,"Primary education, pupils",SE.PRM.ENRL,188371
Albania,ALB,"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,47.11129
Albania,ALB,Progression to secondary school (%),SE.SEC.PROG.ZS,..
Albania,ALB,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,..
Albania,ALB,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,..
Albania,ALB,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,..
Albania,ALB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,..
Albania,ALB,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",IQ.WEF.PORT.XQ,4.15121016869178
Albania,ALB,Rail lines (total route-km),IS.RRS.TOTL.KM,..
Albania,ALB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..
Albania,ALB,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,..
Albania,ALB,"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,0.68174
Albania,ALB,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,0.98267
Albania,ALB,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,0.84089
Albania,ALB,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,88.60224
Albania,ALB,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,87.39891
Albania,ALB,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,89.72232
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,113.6998
Albania,ALB,"School enrollment, primary (% net)",SE.PRM.NENR,..
Albania,ALB,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.96706
Albania,ALB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.94666
Albania,ALB,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,111.71902
Albania,ALB,"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,..
Albania,ALB,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,115.5243
Albania,ALB,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,..
Albania,ALB,"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS,5.93138
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.76549
Albania,ALB,"School enrollment, secondary (% net)",SE.SEC.NENR,85.91445
Albania,ALB,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,0.936
Albania,ALB,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,92.5088
Albania,ALB,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,85.39539
Albania,ALB,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,98.8341
Albania,ALB,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,86.40354
Albania,ALB,"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,7.61587
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,58.10995
Albania,ALB,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.39866
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,68.13814
Albania,ALB,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,48.71669
Albania,ALB,"Secondary education, general pupils",SE.SEC.ENRL.GC,287812
Albania,ALB,"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,49.33533
Albania,ALB,"Secondary education, pupils",SE.SEC.ENRL,315079
Albania,ALB,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,46.86349
Albania,ALB,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,27267
Albania,ALB,"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,20.77236
Albania,ALB,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,4.3
Albania,ALB,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,90.83192
Albania,ALB,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,84.79198
Albania,ALB,Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,..
Algeria,DZA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,98.81303
Algeria,DZA,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..
Algeria,DZA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..
Algeria,DZA,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..
Algeria,DZA,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..
Algeria,DZA,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..
Algeria,DZA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,24.7233775039506
Algeria,DZA,"Air transport, passengers carried",IS.AIR.PSGR,5910835.50968224
Algeria,DZA,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,68096.2679034272
Algeria,DZA,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,3.2422683388458
Algeria,DZA,Children out of school (% of primary school age),SE.PRM.UNER.ZS,1.18697
Algeria,DZA,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..
Algeria,DZA,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,..
Algeria,DZA,"Children out of school, primary",SE.PRM.UNER,40114
Algeria,DZA,"Children out of school, primary, female",SE.PRM.UNER.FE,..
Algeria,DZA,"Children out of school, primary, male",SE.PRM.UNER.MA,..
Algeria,DZA,Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),SP.DTH.INFR.ZS,..
Algeria,DZA,Completeness of total death reporting (% of reported total deaths to estimated total deaths),SP.DTH.REPT.ZS,..
Algeria,DZA,Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,..
Algeria,DZA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,..
Algeria,DZA,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,21
Algeria,DZA,Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,..
Algeria,DZA,GINI index (World Bank estimate),SI.POV.GINI,..
Algeria,DZA,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS,106.96893
Algeria,DZA,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,109.85495
Algeria,DZA,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,108.4342
Algeria,DZA,Income share held by fourth 20%,SI.DST.04TH.20,..
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,..
